escalate                           eskalieren
escalator clause                   Indexvereinbarung, Gleitklausel
escape                             entkommen, entfliehen, entgehen, entweichen
escape                             Flucht, Entrinnen, Entkommen
escape clause                      Entlastungsklausel, Rücktrittsklausel
escort                             sicher geleiten, Geleit
especial                           besonders
espionage                          Spionage
espy                               erspähen
essence                            Wesen, Essenz
essential                          wesentlich
essential element                  wesentlicher Bestandteil
essential facts                    die wesentlichen Tatsachen
essential part                     Hauptbestandteil, wesentlicher Bestandteil
essentials                         lebensnotwendige Güter
essentials                         lebenswichtige Güter
establish                          etablieren, sich etablieren, errichten
establish a basis                  eine Grundlage schaffen
establish a business               ein Geschäft eröffnen
establish a credit                 einen Kredit eröffnen
establish a good reputation        einen guten Ruf begründen
establish a rule                   eine Regel aufstellen
establish contact                  Kontakt aufnehmen
establish oneself                  sich etablieren
establish order                    Ordnung herstellen
establish relations                Verbindungen aufnehmen
established fact                   feststehende Tatsache
established law                    bestehendes Recht
established merchant               selbständiger Kaufmann
established post                   Planstelle
established practice               Handelsbrauch
established truth                  anerkannte Wahrheit
establishment                      Gründung, Einrichtung, Unternehmen, Geschäft
establishment                      Niederlassung, Betrieb, Unternehmen
establishment census               Betriebszählung
establishment level                Betriebsebene
establishment of a business connection   Herstellung einer Geschäftsverbindung
establishment of higher education  höhere Lehranstalt
establishment of industry          Industrieansiedlung
estate                             Grundbesitz, Landbesitz, Gutsbesitz
estate agency                      Immobilienbüro
estate agent                       Grundstücksmakler
estate agent                       Immobilienmakler, Grundstücksmakler
estate duty                        Erbschaftssteuerversicherung
estate duty                        Nachlasssteuer
esteem                             Achtung, Hochschätzung
esthetic quality                   ästhetische Qualität
estimable                          beachtenswert
estimate                           schätzen, einschätzen, Schätzung
estimate                           Voranschlag, abschätzen
estimate of damages                Abschätzung des Schadens
estimated amount                   geschätzter Betrag
estimated inventory                geschätzte Inventur
estimated time                     erwartete Zeit
estimated value                    geschätzter Wert
estimated value                    Schätzwert
estimating                         Kostenvorkalkulation
estimation                         Abschätzung, Beurteilung
estimation error                   Bewertungsfehler
estimation of damage               Schadensabschätzung
estimation of expenditure          Ausgabenschätzung
estimation of prospective profits  Gewinnabschätzung
estimator                          Schätzer, Gutachter
estimator                          Vorkalulator

etc.                               und so weiter
ethic                              ethisch
ethics                             Ethik, Sittenlehre
etiquette                          Anstandsregel

euphemism                          Hüllwort, Euphemismus
Eurasia                            Eurasien
Eurocrat                           Eurokrat
Eurodollar                         Eurodollar
Eurocard                           Eurokreditkarte
Eurocheque                         Euroscheck
Europe                             Europa
European                           Europäer
Eurovision                         Eurovision

evacuate                           evakuieren, räumen
evacuation                         Evakuierung, Räumung
evade                              vermeiden, ausweichen, entgehen
evade a question                   einer Frage ausweichen
evade a person                     einer Person aus dem Weg gehen
evade tax                          Steuer umgehen, Steuer hinterziehen
evaded income tax                  hinterzogene Einkommensteuer
evasion                            Ausweichen, Hinterziehung
evaluate                           auswerten
evaluate                           bewerten
evaluated                          ausgewertet
evaluation                         Bewertung, Auswertung
evaluation                         Schätzung
evaluation sheet                   Bewertungsbogen
evasion of taxes                   Steuerumgehung
eve                                Vorabend
even                               eben, gleich, quitt
even if                            selbst wenn
evening class                      Abendkurs, Abendklasse
evening course                     Abendkurs
evening mail                       Abendpost
evening newspaper                  Abendzeitung
evening school                     Abendschule
event                              Ereignis, Vorkommnis, Vorfall
event of damage or loss            Schadensfall
eventful                           ereignisreich
eventual                           etwaig, möglich
eventual failure                   schließliches Versagen
eventuality                        Möglichkeit
ever                               stets, immer, je
every endeavour has been made      es wurde alle Anstrengungen unternommen
evidence                           Beleg, Beweis, Anzeichen
evidence                           Beweis, Beweismaterial, Nachweis
evidence of conformity             Nachweis der Übereinstimmung
evidence of insurance cover        Nachweis über den Versicherungsschutz
evidence of sickness               Krankheitsnachweis
evident                            offensichtlich, erwiesen
evil                               böse, übel, schlecht, schlimm, Übel
evitable accident                  vermeidbarer Unfall
evolution                          Entwicklung
evolve                             sich entwickeln

ex dividend                        nach Abtrennung des Coupons
ex factory                         ab Fabrik (INCOTERM)
ex gratis payment                  Zahlung ohne Verpflichtung
ex-gratis payment                  freiwillige Leistung, Kulanzleistung
ex mill                            ab Mühle
ex new                             ohne Bezugsrecht
ex plantation                      ab Plantage
ex quay                            ab Kai
ex quay (duties on buyer's account)ab Kai (unverzollt)
ex quay (duty paid)                ab Kai (verzollt)
ex ship                            ab Schiff
ex warehouse                       ab Lager (INCOTERM)
ex works                           ab Werk (INCOTERM)
exact                              genau, bestimmt, scharf
exact address                      genaue Anschrift
exact marking instructions         genaue Markierungsanweisungen
exact number                       genaue Zahl
exact payment                      Zahlung erzwingen
exact time                         genaue Zeit
exact value                        genaue Wert
exacting                           anspruchsvoll
exactness                          Genauigkeit
exactly 10 years since             genau 10 Jahre nach
exaggerate                         übertreiben
exaggerated claim                  übertriebene Forderung
exaggerated demand                 Übernachfrage
exaggeratedly                      übertrieben, in übertriebener Weise
exaggeration                       Übertreibung
examination                        Überprüfung, Untersuchung
examination board                  Prüfungsausschuss
examination of accounts            Rechnungsprüfung
examination of proposal            Prüfung des Antrags
examination performance            Prüfungsergebnis, Abschneiden in der Prüfung
examine                            prüfen, untersuchen
examine an account                 ein Konto überprüfen
examine candidates                 Kandidaten prüfen
examine more closely               näher prüfen
examined copy                      geprüfte Kopie
examinee                           Prüfling
examiner                           Prüfer
example                            Beispiel
excavate                           ausgraben
exceed                             überschreiten, übersteigen
exceed a term                      Frist überschreiten
exceeding                          übersteigend
excel                              übertreffen
excellent                          ausgezeichnet
except                             ausgenommen,  ausnehmen
except that                        mit der Ausnahme jedoch, daß
except to the extent and in the manner   außer in dem Umfang und in der Art
